"","gene","chrom","loc.start","loc.end","description","gene.name","biotype","chrom.strand","chrom.band"
"29729","ENSG00000186026","19",44072159,44089613,"zinc finger protein 284 [Source:HGNC Symbol;Acc:HGNC:13078]","ZNF284","protein_coding",1,"q13.31"
"29731","ENSG00000267680","19",44094361,44109886,"zinc finger protein 224 [Source:HGNC Symbol;Acc:HGNC:13017]","ZNF224","protein_coding",1,"q13.31"
"29732","ENSG00000256294","19",44112181,44134822,"zinc finger protein 225 [Source:HGNC Symbol;Acc:HGNC:13018]","ZNF225","protein_coding",1,"q13.31"
"29733","ENSG00000263002","19",44141554,44160313,"zinc finger protein 234 [Source:HGNC Symbol;Acc:HGNC:13027]","ZNF234","protein_coding",1,"q13.31"
"29735","ENSG00000167380","19",44165073,44178381,"zinc finger protein 226 [Source:HGNC Symbol;Acc:HGNC:13019]","ZNF226","protein_coding",1,"q13.31"
"29736","ENSG00000131115","19",44207547,44237268,"zinc finger protein 227 [Source:HGNC Symbol;Acc:HGNC:13020]","ZNF227","protein_coding",1,"q13.31"
"29738","ENSG00000159915","19",44259880,44275317,"zinc finger protein 233 [Source:HGNC Symbol;Acc:HGNC:30946]","ZNF233","protein_coding",1,"q13.31"
"29739","ENSG00000213022","19",51002508,51009634,"kallikrein related peptidase 9 [Source:HGNC Symbol;Acc:HGNC:6370]","KLK9","protein_coding",-1,"q13.41"
"29740","ENSG00000129451","19",51012739,51020175,"kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]","KLK10","protein_coding",-1,"q13.41"
"29742","ENSG00000167757","19",51022216,51028039,"kallikrein related peptidase 11 [Source:HGNC Symbol;Acc:HGNC:6359]","KLK11","protein_coding",-1,"q13.41"
"29743","ENSG00000186474","19",51029092,51035230,"kallikrein related peptidase 12 [Source:HGNC Symbol;Acc:HGNC:6360]","KLK12","protein_coding",-1,"q13.41"
"29746","ENSG00000167759","19",51055626,51065114,"kallikrein related peptidase 13 [Source:HGNC Symbol;Acc:HGNC:6361]","KLK13","protein_coding",-1,"q13.41"
"29747","ENSG00000129437","19",51077495,51084245,"kallikrein related peptidase 14 [Source:HGNC Symbol;Acc:HGNC:6362]","KLK14","protein_coding",-1,"q13.41"
"29748","ENSG00000142544","19",51097606,51108409,"cytosolic thiouridylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:29590]","CTU1","protein_coding",-1,"q13.41"
"29750","ENSG00000129450","19",51124906,51136651,"sialic acid binding Ig like lectin 9 [Source:HGNC Symbol;Acc:HGNC:10878]","SIGLEC9","protein_coding",1,"q13.41"
"29752","ENSG00000168995","19",51142299,51153526,"sialic acid binding Ig like lectin 7 [Source:HGNC Symbol;Acc:HGNC:10876]","SIGLEC7","protein_coding",1,"q13.41"
"29758","ENSG00000105383","19",51225064,51243860,"CD33 molecule [Source:HGNC Symbol;Acc:HGNC:1659]","CD33","protein_coding",1,"q13.41"
"29762","ENSG00000142549","19",51311644,51330891,"IgLON family member 5 [Source:HGNC Symbol;Acc:HGNC:34550]","IGLON5","protein_coding",1,"q13.41"
"29763","ENSG00000186806","19",51331536,51342139,"V-set and immunoglobulin domain containing 10 like [Source:HGNC Symbol;Acc:HGNC:27111]","VSIG10L","protein_coding",-1,"q13.41"
"29766","ENSG00000105379","19",51345169,51366388,"electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]","ETFB","protein_coding",-1,"q13.41"
"29767","ENSG00000269403","19",51350373,51368099,"novel protein","","protein_coding",-1,"q13.41"
"29769","ENSG00000160318","19",51367098,51369003,"claudin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28511]","CLDND2","protein_coding",-1,"q13.41"
"29770","ENSG00000105374","19",51371606,51372701,"natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]","NKG7","protein_coding",-1,"q13.41"
"29771","ENSG00000105370","19",51379909,51387974,"lens intrinsic membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6610]","LIM2","protein_coding",-1,"q13.41"
"29772","ENSG00000262874","19",51388289,51390591,"chromosome 19 open reading frame 84 [Source:HGNC Symbol;Acc:HGNC:27112]","C19orf84","protein_coding",-1,"q13.41"
"29774","ENSG00000142512","19",51410020,51417803,"sialic acid binding Ig like lectin 10 [Source:HGNC Symbol;Acc:HGNC:15620]","SIGLEC10","protein_coding",-1,"q13.41"
"29778","ENSG00000179213","19",51246348,51269330,"SIGLEC family like 1 [Source:HGNC Symbol;Acc:HGNC:26856]","SIGLECL1","protein_coding",1,"q13.41"
"29780","ENSG00000248385","19",54069895,54081365,"T cell-interacting, activating receptor on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:37250]","TARM1","protein_coding",-1,"q13.42"
"29781","ENSG00000204577","19",54216278,54223506,"leukocyte immunoglobulin like receptor B3 [Source:HGNC Symbol;Acc:HGNC:6607]","LILRB3","protein_coding",-1,"q13.42"
"29786","ENSG00000187116","19",54307070,54313166,"leukocyte immunoglobulin like receptor A5 [Source:HGNC Symbol;Acc:HGNC:16309]","LILRA5","protein_coding",-1,"q13.42"
"29790","ENSG00000239961","19",54333185,54339162,"leukocyte immunoglobulin like receptor A4 [Source:HGNC Symbol;Acc:HGNC:15503]","LILRA4","protein_coding",-1,"q13.42"
"29791","ENSG00000167613","19",54351384,54370558,"leukocyte associated immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:6477]","LAIR1","protein_coding",-1,"q13.42"
"29793","ENSG00000167614","19",54415219,54436904,"tweety family member 1 [Source:HGNC Symbol;Acc:HGNC:13476]","TTYH1","protein_coding",1,"q13.42"
"29799","ENSG00000275183","19",54461732,54463778,"leukocyte receptor cluster member 9 [Source:HGNC Symbol;Acc:HGNC:16306]","LENG9","protein_coding",-1,"q13.42"
"29800","ENSG00000167617","19",54465026,54473296,"CDC42 effector protein 5 [Source:HGNC Symbol;Acc:HGNC:17408]","CDC42EP5","protein_coding",-1,"q13.42"
"29803","ENSG00000278129","19",58278955,58302791,"zinc finger protein 8 [Source:HGNC Symbol;Acc:HGNC:13154]","ZNF8","protein_coding",1,"q13.43"
"29804","ENSG00000198131","19",58228594,58277495,"zinc finger protein 544 [Source:HGNC Symbol;Acc:HGNC:16759]","ZNF544","protein_coding",1,"q13.43"
"29810","ENSG00000131398","19",50311937,50333515,"potassium voltage-gated channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:6235]","KCNC3","protein_coding",-1,"q13.33"
"29811","ENSG00000131408","19",50329653,50383388,"nuclear receptor subfamily 1 group H member 2 [Source:HGNC Symbol;Acc:HGNC:7965]","NR1H2","protein_coding",1,"q13.33"
"29813","ENSG00000142539","19",50415799,50428409,"novel protein","","protein_coding",1,"q13.33"
"29814","ENSG00000269404","19",50418938,50431314,"Spi-B transcription factor [Source:HGNC Symbol;Acc:HGNC:11242]","SPIB","protein_coding",1,"q13.33"
"29815","ENSG00000086967","19",50432892,50466321,"myosin binding protein C2 [Source:HGNC Symbol;Acc:HGNC:7550]","MYBPC2","protein_coding",1,"q13.33"
"29816","ENSG00000142530","19",50466785,50476848,"golgi associated RAB2 interactor 5A [Source:HGNC Symbol;Acc:HGNC:25107]","GARIN5A","protein_coding",-1,"q13.33"
"29817","ENSG00000161671","19",50476400,50490871,"ER membrane protein complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:27609]","EMC10","protein_coding",1,"q13.33"
"29820","ENSG00000152467","19",58034025,58054631,"zinc finger and SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23712]","ZSCAN1","protein_coding",1,"q13.43"
"29823","ENSG00000176293","19",58059239,58086310,"zinc finger protein 135 [Source:HGNC Symbol;Acc:HGNC:12919]","ZNF135","protein_coding",1,"q13.43"
"29825","ENSG00000121413","19",58083838,58118427,"zinc finger and SCAN domain containing 18 [Source:HGNC Symbol;Acc:HGNC:21037]","ZSCAN18","protein_coding",-1,"q13.43"
"29826","ENSG00000181894","19",58126248,58155110,"zinc finger protein 329 [Source:HGNC Symbol;Acc:HGNC:14209]","ZNF329","protein_coding",-1,"q13.43"
"29830","ENSG00000177191","19",41425359,41428730,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:24139]","B3GNT8","protein_coding",-1,"q13.2"
"29831","ENSG00000130255","19",5674947,5691875,"ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631]","RPL36","protein_coding",1,"p13.3"
"29832","ENSG00000174917","19",5678421,5680516,"mitochondrial contact site and cristae organizing system subunit 13 [Source:HGNC Symbol;Acc:HGNC:33702]","MICOS13","protein_coding",-1,"p13.3"
"29833","ENSG00000167733","19",5680604,5688523,"hydroxysteroid 11-beta dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:30419]","HSD11B1L","protein_coding",1,"p13.3"
"29834","ENSG00000196365","19",5691834,5720572,"lon peptidase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:9479]","LONP1","protein_coding",-1,"p13.3"
"29835","ENSG00000174898","19",5720637,5778734,"cation channel sperm associated auxiliary subunit delta [Source:HGNC Symbol;Acc:HGNC:28598]","CATSPERD","protein_coding",1,"p13.3"
"29836","ENSG00000212123","19",5782960,5784746,"proline rich 22 [Source:HGNC Symbol;Acc:HGNC:28354]","PRR22","protein_coding",-1,"p13.3"
"29837","ENSG00000267157","19",5784005,5785619,"novel protein","","protein_coding",-1,"p13.3"
"29838","ENSG00000141994","19",5784832,5791225,"dihydrouridine synthase 3 like [Source:HGNC Symbol;Acc:HGNC:26920]","DUS3L","protein_coding",-1,"p13.3"
"29839","ENSG00000171119","19",5805067,5828324,"neurturin [Source:HGNC Symbol;Acc:HGNC:8007]","NRTN","protein_coding",1,"p13.3"
"29840","ENSG00000267740","19",5866171,5903787,"novel protein","","protein_coding",-1,"p13.3"
"29841","ENSG00000174886","19",5891276,5904006,"NADH:ubiquinone oxidoreductase subunit A11 [Source:HGNC Symbol;Acc:HGNC:20371]","NDUFA11","protein_coding",-1,"p13.3"
"29843","ENSG00000267314","19",5904841,5914707,"novel protein, readthrough VMAC-CAPS","","protein_coding",1,"p13.3"
"29844","ENSG00000187650","19",5904872,5910853,"vimentin type intermediate filament associated coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:33803]","VMAC","protein_coding",1,"p13.3"
"29846","ENSG00000167654","19",3879864,3928082,"ATCAY kinesin light chain interacting caytaxin [Source:HGNC Symbol;Acc:HGNC:779]","ATCAY","protein_coding",1,"p13.3"
"29848","ENSG00000167657","19",3958453,3971123,"death associated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:2676]","DAPK3","protein_coding",-1,"p13.3"
"29850","ENSG00000167658","19",3976056,3985463,"eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]","EEF2","protein_coding",-1,"p13.3"
"29852","ENSG00000105229","19",4007736,4039386,"protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]","PIAS4","protein_coding",1,"p13.3"
"29853","ENSG00000178951","19",4043303,4066899,"zinc finger and BTB domain containing 7A [Source:HGNC Symbol;Acc:HGNC:18078]","ZBTB7A","protein_coding",-1,"p13.3"
"29855","ENSG00000126934","19",4090321,4124122,"mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]","MAP2K2","protein_coding",-1,"p13.3"
"29857","ENSG00000060566","19",4153631,4173054,"cAMP responsive element binding protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:18855]","CREB3L3","protein_coding",1,"p13.3"
"29858","ENSG00000077463","19",4174109,4182566,"sirtuin 6 [Source:HGNC Symbol;Acc:HGNC:14934]","SIRT6","protein_coding",-1,"p13.3"
"29860","ENSG00000167470","19",1248553,1259143,"midnolin [Source:HGNC Symbol;Acc:HGNC:16298]","MIDN","protein_coding",1,"p13.3"
"29861","ENSG00000099622","19",1259384,1274880,"cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]","CIRBP","protein_coding",1,"p13.3"
"29863","ENSG00000228300","19",1275530,1279244,"family with sequence similarity 174 member C [Source:HGNC Symbol;Acc:HGNC:26073]","FAM174C","protein_coding",1,"p13.3"
"29864","ENSG00000105610","19",12884422,12887201,"KLF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:6345]","KLF1","protein_coding",-1,"p13.13"
"29865","ENSG00000008441","19",12995475,13098796,"nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]","NFIX","protein_coding",1,"p13.13"
"29869","ENSG00000196172","19",23739195,23758891,"zinc finger protein 681 [Source:HGNC Symbol;Acc:HGNC:26457]","ZNF681","protein_coding",-1,"p12"
"29879","ENSG00000011590","19",35704558,35717038,"zinc finger and BTB domain containing 32 [Source:HGNC Symbol;Acc:HGNC:16763]","ZBTB32","protein_coding",1,"q13.12"
"29882","ENSG00000198300","19",56810077,56840728,"paternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:8826]","PEG3","protein_coding",-1,"q13.43"
"29885","ENSG00000269699","19",56774547,56840731,"zinc finger imprinted 2 [Source:HGNC Symbol;Acc:HGNC:12875]","ZIM2","protein_coding",-1,"q13.43"
"29887","ENSG00000189042","19",36687612,36727701,"zinc finger protein 567 [Source:HGNC Symbol;Acc:HGNC:28696]","ZNF567","protein_coding",1,"q13.12"
"29888","ENSG00000272333","19",35717973,35738880,"lysine methyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:15840]","KMT2B","protein_coding",1,"q13.12"
"29890","ENSG00000196646","19",12163064,12189871,"zinc finger protein 136 [Source:HGNC Symbol;Acc:HGNC:12920]","ZNF136","protein_coding",1,"p13.2"
"29891","ENSG00000004777","19",35774532,35788822,"Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]","ARHGAP33","protein_coding",1,"q13.12"
"29892","ENSG00000167378","19",43584367,43596134,"immunity related GTPase Q [Source:HGNC Symbol;Acc:HGNC:24868]","IRGQ","protein_coding",-1,"q13.31"
"29893","ENSG00000124444","19",43596392,43601157,"zinc finger protein 576 [Source:HGNC Symbol;Acc:HGNC:28357]","ZNF576","protein_coding",1,"q13.31"
"29894","ENSG00000226763","19",43596617,43614498,"serine/arginine repetitive matrix 5 [Source:HGNC Symbol;Acc:HGNC:37248]","SRRM5","protein_coding",1,"q13.31"
"29895","ENSG00000062822","19",50384204,50418018,"DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]","POLD1","protein_coding",1,"q13.33"
"29896","ENSG00000169136","19",49928702,49933935,"activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]","ATF5","protein_coding",1,"q13.33"
"29897","ENSG00000095059","19",12675717,12681880,"deoxyhypusine synthase [Source:HGNC Symbol;Acc:HGNC:2869]","DHPS","protein_coding",-1,"p13.13"
"29898","ENSG00000104885","19",2163933,2232578,"DOT1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:24948]","DOT1L","protein_coding",1,"p13.3"
"29900","ENSG00000104886","19",2230084,2237704,"pleckstrin homology domain containing J1 [Source:HGNC Symbol;Acc:HGNC:18211]","PLEKHJ1","protein_coding",-1,"p13.3"
"29903","ENSG00000104897","19",2236824,2248655,"splicing factor 3a subunit 2 [Source:HGNC Symbol;Acc:HGNC:10766]","SF3A2","protein_coding",1,"p13.3"
"29904","ENSG00000104899","19",2249309,2252073,"anti-Mullerian hormone [Source:HGNC Symbol;Acc:HGNC:464]","AMH","protein_coding",1,"p13.3"
"29907","ENSG00000213921","19",39776595,39786291,"leucine twenty homeobox [Source:HGNC Symbol;Acc:HGNC:31953]","LEUTX","protein_coding",1,"q13.2"
"29909","ENSG00000105202","19",39834458,39846379,"fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]","FBL","protein_coding",-1,"q13.2"
"29910","ENSG00000223547","19",12064731,12081565,"zinc finger protein 844 [Source:HGNC Symbol;Acc:HGNC:25932]","ZNF844","protein_coding",1,"p13.2"
"29911","ENSG00000129933","19",19320829,19358754,"MAU2 sister chromatid cohesion factor [Source:HGNC Symbol;Acc:HGNC:29140]","MAU2","protein_coding",1,"p13.11"
"29912","ENSG00000257446","19",12043805,12052961,"zinc finger protein 878 [Source:HGNC Symbol;Acc:HGNC:37246]","ZNF878","protein_coding",-1,"p13.2"
"29913","ENSG00000237247","19",7030578,7033011,"methyl-CpG binding domain protein 3 like 5 [Source:HGNC Symbol;Acc:HGNC:37204]","MBD3L5","protein_coding",1,"p13.2"
"29914","ENSG00000205718","19",7037749,7040179,"methyl-CpG binding domain protein 3 like 4 [Source:HGNC Symbol;Acc:HGNC:37206]","MBD3L4","protein_coding",-1,"p13.2"
"29915","ENSG00000230522","19",7049321,7051735,"methyl-CpG binding domain protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:18532]","MBD3L2","protein_coding",1,"p13.2"
"29916","ENSG00000130544","19",7069703,7087968,"zinc finger protein 557 [Source:HGNC Symbol;Acc:HGNC:28632]","ZNF557","protein_coding",1,"p13.2"
"29917","ENSG00000167414","19",46633953,46636541,"G protein subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:19664]","GNG8","protein_coding",-1,"q13.32"
"29918","ENSG00000197013","19",21496682,21556270,"zinc finger protein 429 [Source:HGNC Symbol;Acc:HGNC:20817]","ZNF429","protein_coding",1,"p12"
"29919","ENSG00000160321","19",21932958,22010949,"zinc finger protein 208 [Source:HGNC Symbol;Acc:HGNC:12999]","ZNF208","protein_coding",-1,"p12"
"29920","ENSG00000053501","19",17215346,17219829,"unconventional SNARE in the ER 1 [Source:HGNC Symbol;Acc:HGNC:30882]","USE1","protein_coding",1,"p13.11"
"29921","ENSG00000180739","19",10512742,10517931,"sphingosine-1-phosphate receptor 5 [Source:HGNC Symbol;Acc:HGNC:14299]","S1PR5","protein_coding",-1,"p13.2"
"29922","ENSG00000142515","19",50854915,50860764,"kallikrein related peptidase 3 [Source:HGNC Symbol;Acc:HGNC:6364]","KLK3","protein_coding",1,"q13.33"
"29923","ENSG00000178980","19",47778677,47784686,"selenoprotein W [Source:HGNC Symbol;Acc:HGNC:10752]","SELENOW","protein_coding",1,"q13.33"
"29924","ENSG00000188227","19",37506939,37548762,"zinc finger protein 793 [Source:HGNC Symbol;Acc:HGNC:33115]","ZNF793","protein_coding",1,"q13.12"
"29925","ENSG00000105323","19",41262496,41307787,"heterogeneous nuclear ribonucleoprotein U like 1 [Source:HGNC Symbol;Acc:HGNC:17011]","HNRNPUL1","protein_coding",1,"q13.2"
"29926","ENSG00000167562","19",52555822,52587174,"zinc finger protein 701 [Source:HGNC Symbol;Acc:HGNC:25597]","ZNF701","protein_coding",1,"q13.41"
"29927","ENSG00000198046","19",56439325,56478065,"zinc finger protein 667 [Source:HGNC Symbol;Acc:HGNC:28854]","ZNF667","protein_coding",-1,"q13.43"
"29928","ENSG00000105198","19",39602524,39607474,"galectin 13 [Source:HGNC Symbol;Acc:HGNC:15449]","LGALS13","protein_coding",1,"q13.2"
"29929","ENSG00000169393","19",47994632,48025154,"epididymal sperm binding protein 1 [Source:HGNC Symbol;Acc:HGNC:14417]","ELSPBP1","protein_coding",1,"q13.33"
"29930","ENSG00000126464","19",49591182,49626439,"proline rich 12 [Source:HGNC Symbol;Acc:HGNC:29217]","PRR12","protein_coding",1,"q13.33"
"29931","ENSG00000197128","19",57466663,57477570,"zinc finger protein 772 [Source:HGNC Symbol;Acc:HGNC:33106]","ZNF772","protein_coding",-1,"q13.43"
"29932","ENSG00000171970","19",2900928,2918473,"zinc finger protein 57 [Source:HGNC Symbol;Acc:HGNC:13125]","ZNF57","protein_coding",1,"p13.3"
"29933","ENSG00000177045","19",45764785,45769252,"SIX homeobox 5 [Source:HGNC Symbol;Acc:HGNC:10891]","SIX5","protein_coding",-1,"q13.32"
"29934","ENSG00000161298","19",36604817,36634114,"zinc finger protein 382 [Source:HGNC Symbol;Acc:HGNC:17409]","ZNF382","protein_coding",1,"q13.12"
"29935","ENSG00000197020","19",21722771,21767579,"zinc finger protein 100 [Source:HGNC Symbol;Acc:HGNC:12880]","ZNF100","protein_coding",-1,"p12"
"29936","ENSG00000007047","19",45079288,45305284,"microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]","MARK4","protein_coding",1,"q13.32"
"29937","ENSG00000186994","19",8322584,8343262,"KN motif and ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:24796]","KANK3","protein_coding",-1,"p13.2"
"29938","ENSG00000204514","19",57848731,57889074,"zinc finger protein 814 [Source:HGNC Symbol;Acc:HGNC:33258]","ZNF814","protein_coding",-1,"q13.43"
"29939","ENSG00000105472","19",50723364,50725708,"C-type lectin domain containing 11A [Source:HGNC Symbol;Acc:HGNC:10576]","CLEC11A","protein_coding",1,"q13.33"
"29940","ENSG00000160460","19",40466241,40576464,"spectrin beta, non-erythrocytic 4 [Source:HGNC Symbol;Acc:HGNC:14896]","SPTBN4","protein_coding",1,"q13.2"
"29941","ENSG00000105136","19",57487711,57496098,"zinc finger protein 419 [Source:HGNC Symbol;Acc:HGNC:20648]","ZNF419","protein_coding",1,"q13.43"
"29942","ENSG00000213967","19",23914876,23945159,"zinc finger protein 726 [Source:HGNC Symbol;Acc:HGNC:32462]","ZNF726","protein_coding",1,"p12"
"29943","ENSG00000188171","19",20619939,20661596,"zinc finger protein 626 [Source:HGNC Symbol;Acc:HGNC:30461]","ZNF626","protein_coding",-1,"p12"
"29944","ENSG00000130518","19",18257098,18274500,"IQ motif containing N [Source:HGNC Symbol;Acc:HGNC:29350]","IQCN","protein_coding",-1,"p13.11"
"29945","ENSG00000213973","19",22752183,22784151,"zinc finger protein 99 [Source:HGNC Symbol;Acc:HGNC:13175]","ZNF99","protein_coding",-1,"p12"
"29946","ENSG00000115286","19",1383527,1395589,"NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]","NDUFS7","protein_coding",1,"p13.3"
"29947","ENSG00000087088","19",48954815,48961798,"BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]","BAX","protein_coding",1,"q13.33"
"29948","ENSG00000204869","19",46039182,46077118,"IGF like family member 4 [Source:HGNC Symbol;Acc:HGNC:32931]","IGFL4","protein_coding",-1,"q13.32"
"29956","ENSG00000188293","19",46229742,46231243,"IGF like family member 1 [Source:HGNC Symbol;Acc:HGNC:24093]","IGFL1","protein_coding",1,"q13.32"
"29959","ENSG00000182315","19",7056207,7069665,"methyl-CpG binding domain protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:37205]","MBD3L3","protein_coding",-1,"p13.2"
"29960","ENSG00000196218","19",38433691,38595273,"ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]","RYR1","protein_coding",1,"q13.2"
"29961","ENSG00000224420","19",49689594,49690575,"adrenomedullin 5 (putative) [Source:HGNC Symbol;Acc:HGNC:27293]","ADM5","protein_coding",1,"q13.33"
"29962","ENSG00000161681","19",50659255,50719802,"SH3 and multiple ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15474]","SHANK1","protein_coding",-1,"q13.33"
"29963","ENSG00000181733","19",8721634,8732160,"olfactory receptor family 2 subfamily Z member 1 [Source:HGNC Symbol;Acc:HGNC:15391]","OR2Z1","protein_coding",1,"p13.2"
"29964","ENSG00000170923","19",9100407,9107475,"olfactory receptor family 7 subfamily G member 2 [Source:HGNC Symbol;Acc:HGNC:8466]","OR7G2","protein_coding",-1,"p13.2"
"29965","ENSG00000176695","19",107104,117102,"olfactory receptor family 4 subfamily F member 17 [Source:HGNC Symbol;Acc:HGNC:15381]","OR4F17","protein_coding",1,"p13.3"
"29966","ENSG00000204866","19",46143106,46161298,"IGF like family member 2 [Source:HGNC Symbol;Acc:HGNC:32929]","IGFL2","protein_coding",1,"q13.32"
"29967","ENSG00000187135","19",29525994,29564551,"V-set and transmembrane domain containing 2B [Source:HGNC Symbol;Acc:HGNC:33595]","VSTM2B","protein_coding",1,"q12"
"29968","ENSG00000141854","19",14072536,14075062,"MISP family member 3 [Source:HGNC Symbol;Acc:HGNC:26963]","MISP3","protein_coding",1,"p13.12"
"29969","ENSG00000105737","19",41998321,42070206,"glutamate ionotropic receptor kainate type subunit 5 [Source:HGNC Symbol;Acc:HGNC:4583]","GRIK5","protein_coding",-1,"q13.2"
"29970","ENSG00000072071","19",14147743,14206187,"adhesion G protein-coupled receptor L1 [Source:HGNC Symbol;Acc:HGNC:20973]","ADGRL1","protein_coding",-1,"p13.12"
"29971","ENSG00000132017","19",13952509,13961449,"DDB1 and CUL4 associated factor 15 [Source:HGNC Symbol;Acc:HGNC:25095]","DCAF15","protein_coding",1,"p13.12"
"29972","ENSG00000269526","19",53013921,53016123,"endogenous retrovirus group V member 1, envelope [Source:HGNC Symbol;Acc:HGNC:26501]","ERVV-1","protein_coding",1,"q13.41"
"29973","ENSG00000077009","19",3933069,3942416,"nicotinamide riboside kinase 2 [Source:HGNC Symbol;Acc:HGNC:17871]","NMRK2","protein_coding",1,"p13.3"
"29974","ENSG00000173572","19",55891699,55932336,"NLR family pyrin domain containing 13 [Source:HGNC Symbol;Acc:HGNC:22937]","NLRP13","protein_coding",-1,"q13.43"
"29975","ENSG00000182566","19",7728957,7733906,"C-type lectin domain family 4 member G [Source:HGNC Symbol;Acc:HGNC:24591]","CLEC4G","protein_coding",-1,"p13.2"
"29977","ENSG00000011332","19",38211006,38229714,"double PHD fingers 1 [Source:HGNC Symbol;Acc:HGNC:20225]","DPF1","protein_coding",-1,"q13.2"
"29978","ENSG00000099337","19",38319845,38332076,"potassium two pore domain channel subfamily K member 6 [Source:HGNC Symbol;Acc:HGNC:6281]","KCNK6","protein_coding",1,"q13.2"
"29979","ENSG00000187556","19",13862063,13880757,"nanos C2HC-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:22048]","NANOS3","protein_coding",1,"p13.12"
"29980","ENSG00000132016","19",13882348,13906452,"break repair meiotic recombinase recruitment factor 1 [Source:HGNC Symbol;Acc:HGNC:28153]","BRME1","protein_coding",-1,"p13.12"
"29981","ENSG00000130270","19",1782075,1812276,"ATPase phospholipid transporting 8B3 [Source:HGNC Symbol;Acc:HGNC:13535]","ATP8B3","protein_coding",-1,"p13.3"
"29982","ENSG00000131943","19",29698937,29715789,"chromosome 19 open reading frame 12 [Source:HGNC Symbol;Acc:HGNC:25443]","C19orf12","protein_coding",-1,"q12"
"29983","ENSG00000197110","19",39243455,39245250,"interferon lambda 3 [Source:HGNC Symbol;Acc:HGNC:18365]","IFNL3","protein_coding",-1,"q13.2"
"29985","ENSG00000214046","19",16630751,16660442,"small integral membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:28419]","SMIM7","protein_coding",-1,"p13.11"
"29988","ENSG00000072954","19",16661139,16690023,"transmembrane protein 38A [Source:HGNC Symbol;Acc:HGNC:28462]","TMEM38A","protein_coding",1,"p13.11"
"29989","ENSG00000099822","19",589881,617159,"hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2 [Source:HGNC Symbol;Acc:HGNC:4846]","HCN2","protein_coding",1,"p13.3"
"29991","ENSG00000099821","19",617221,633537,"RNA polymerase mitochondrial [Source:HGNC Symbol;Acc:HGNC:9200]","POLRMT","protein_coding",-1,"p13.3"
"29993","ENSG00000070388","19",639879,644373,"fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]","FGF22","protein_coding",1,"p13.3"
"29994","ENSG00000070423","19",647526,663233,"ring finger protein 126 [Source:HGNC Symbol;Acc:HGNC:21151]","RNF126","protein_coding",-1,"p13.3"
"29996","ENSG00000070404","19",676392,683392,"follistatin like 3 [Source:HGNC Symbol;Acc:HGNC:3973]","FSTL3","protein_coding",1,"p13.3"
